"filename", "language", "HTML", "PostCSS", "JavaScript", "comment", "blank", "total"
"d:\GitHub\cogniven.github.io\about.html", "HTML", 101, 0, 0, 0, 3, 104
"d:\GitHub\cogniven.github.io\archive.html", "HTML", 205, 0, 0, 0, 39, 244
"d:\GitHub\cogniven.github.io\archive\discarded-paths\index.html", "HTML", 161, 0, 0, 6, 36, 203
"d:\GitHub\cogniven.github.io\archive\incomplete-fragments\index.html", "HTML", 152, 0, 0, 0, 30, 182
"d:\GitHub\cogniven.github.io\archive\process-snapshots\index.html", "HTML", 152, 0, 0, 0, 30, 182
"d:\GitHub\cogniven.github.io\assets\images\projects\creative-development\project-001\index.html", "HTML", 541, 0, 0, 0, 77, 618
"d:\GitHub\cogniven.github.io\assets\images\projects\personal-infrastructure\project-001\index.html", "HTML", 259, 0, 0, 0, 28, 287
"d:\GitHub\cogniven.github.io\assets\images\projects\research-systems\project-001\index.html", "HTML", 477, 0, 0, 0, 65, 542
"d:\GitHub\cogniven.github.io\assets\images\projects\technical-builds\project-001\index.html", "HTML", 435, 0, 0, 0, 56, 491
"d:\GitHub\cogniven.github.io\assets\images\works\analytical-pieces\work-001\index.html", "HTML", 404, 0, 0, 0, 75, 479
"d:\GitHub\cogniven.github.io\assets\images\works\artistic-creations\work-002\index.html", "HTML", 274, 0, 0, 0, 46, 320
"d:\GitHub\cogniven.github.io\assets\images\works\experimental-forms\work-001\index.html", "HTML", 492, 0, 0, 0, 67, 559
"d:\GitHub\cogniven.github.io\assets\images\works\technical-works\work-001\index.html", "HTML", 198, 0, 0, 0, 47, 245
"d:\GitHub\cogniven.github.io\assets\images\writing\essays\essay-001\index.html", "HTML", 317, 0, 0, 0, 52, 369
"d:\GitHub\cogniven.github.io\assets\images\writing\notes\note-001\index.html", "HTML", 157, 0, 0, 0, 25, 182
"d:\GitHub\cogniven.github.io\css\style.css", "PostCSS", 0, 899, 0, 2, 144, 1045
"d:\GitHub\cogniven.github.io\index.html", "HTML", 213, 0, 0, 5, 36, 254
"d:\GitHub\cogniven.github.io\js\analyticalPieces.js", "JavaScript", 0, 0, 41, 0, 2, 43
"d:\GitHub\cogniven.github.io\js\artisticCreations.js", "JavaScript", 0, 0, 23, 0, 0, 23
"d:\GitHub\cogniven.github.io\js\creativeDevelopment.js", "JavaScript", 0, 0, 18, 0, 0, 18
